document,real_url
document72.html,https://www.marca.com/futbol/barcelona/2020/02/07/5e3d60ffca4741335c8b4598.html#js-comentar-5e3d60ffca4741335c8b4598-div
document73.html,https://www.marca.com/futbol/copa-rey/2020/02/07/5e3d8519e2704e80758b45ca.html
document74.html,https://www.marca.com/futbol/copa-rey/2020/02/07/5e3d8519e2704e80758b45ca.html#js-comentar-5e3d8519e2704e80758b45ca-div
document75.html,https://www.marca.com/futbol/real-sociedad/2020/02/07/5e3d645a22601d494d8b456c.html
document76.html,https://www.marca.com/futbol/real-sociedad/2020/02/07/5e3d645a22601d494d8b456c.html#js-comentar-5e3d645a22601d494d8b456c-div
document77.html,https://www.marca.com/motor/motogp/2020/02/07/5e3d497e268e3eb1768b459f.html
document78.html,https://www.marca.com/motor/motogp/2020/02/07/5e3d497e268e3eb1768b459f.html#js-comentar-5e3d497e268e3eb1768b459f-div
document79.html,https://www.marca.com/futbol/real-madrid/2020/02/07/5e3d446c46163f1d5b8b457c.html
document80.html,https://www.marca.com/futbol/real-madrid/2020/02/07/5e3d446c46163f1d5b8b457c.html#js-comentar-5e3d446c46163f1d5b8b457c-div
document81.html,https://www.marca.com/futbol/2020/02/07/5e3d41a5ca47413b758b45e6.html
document82.html,https://www.marca.com/futbol/2020/02/07/5e3d41a5ca47413b758b45e6.html#js-comentar-5e3d41a5ca47413b758b45e6-div
document83.html,https://www.marca.com/futbol/premier-league/2020/02/07/5e3d6add268e3eb0768b45d9.html
document84.html,https://www.marca.com/futbol/premier-league/2020/02/07/5e3d6add268e3eb0768b45d9.html#js-comentar-5e3d6add268e3eb0768b45d9-div
document85.html,https://www.marca.com/baloncesto/nba/2020/02/07/5e3d441322601dee358b4617.html
document86.html,https://www.marca.com/baloncesto/nba/2020/02/07/5e3d441322601dee358b4617.html#js-comentar-5e3d441322601dee358b4617-div
document87.html,https://www.marca.com/futbol/copa-rey/2020/02/07/5e3d403522601d967c8b463b.html
document88.html,https://www.marca.com/futbol/real-madrid/2020/02/07/5e3c9b7522601d37318b4607.html
document89.html,https://www.marca.com/futbol/copa-rey/2020/02/06/5e3824aa268e3e8e258b45f7.html
document90.html,https://www.marca.com/futbol/copa-rey/2020/02/05/5e3b3ee3ca474123178b45f9.html
document91.html,https://www.marca.com/resultados/futbol.html
document92.html,https://cuidateplus.marca.com/enfermedades/infecciosas/coronavirus.html
document93.html,https://www.marca.com/futbol/real-madrid/opinion/2020/02/07/5e3d52d146163f035e8b45a3.html
document94.html,https://www.marca.com/futbol/real-madrid/opinion/2020/02/07/5e3d52d146163f035e8b45a3.html#js-comentar-5e3d52d146163f035e8b45a3-div
document95.html,https://www.marca.com/futbol/real-sociedad/2020/02/07/5e3d888622601d2d0d8b458f.html
document96.html,https://track.adform.net/C/?bn=32174052
document97.html,https://videos.marca.com/v/0_qiq4uyvx-el-aficionado-del-real-madrid-mas-despistado-del-mundo-confiamos-en-la-vuelta?uetv_pl=futbol&count=0
document98.html,https://videos.marca.com/v/0_qiq4uyvx-el-aficionado-del-real-madrid-mas-despistado-del-mundo-confiamos-en-la-vuelta?uetv_pl=futbol&count=0#js-comentar-5e3d76ac46163fb8458b45a4-div
document99.html,https://www.marca.com/futbol/liga-francesa/album/2020/02/07/5e3d2675ca4741b3528b45bb.html
